entry_time,resolve_time,signal,entry_price,resolve_price,gross_bps,pnl_bps,source
2026-07-06 15:50:00+00:00,2026-07-06 15:55:00+00:00,-1,63437.94,63501.46,-10.012935476781948,-13.012935476781948,Coinbase
2026-07-16 08:10:00+00:00,2026-07-16 08:15:00+00:00,1,63888.65,63884.4,-0.6652198786483154,-3.665219878648315,Coinbase
2026-07-17 13:30:00+00:00,2026-07-17 13:35:00+00:00,1,62640.88,62516.85,-19.80016883543101,-22.80016883543101,Coinbase
2026-07-22 00:00:00+00:00,2026-07-22 00:05:00+00:00,-1,66578.65,66589.65,-1.652181292350896,-4.652181292350896,Coinbase
2026-07-24 07:10:00+00:00,2026-07-24 07:15:00+00:00,-1,65718.92,65678.94,6.083484025604102,3.0834840256041023,Coinbase
2026-07-27 22:55:00+00:00,2026-07-27 23:00:00+00:00,1,63732.73,63635.78,-15.211964088154284,-18.21196408815428,Coinbase
2026-07-31 14:00:00+00:00,2026-07-31 14:05:00+00:00,1,62938.25,62573.85,-57.89801909014014,-60.89801909014014,Coinbase
2026-08-04 07:15:00+00:00,2026-08-04 07:20:00+00:00,1,63475.96,63486.46,1.65416954702291,-1.34583045297709,Coinbase
2026-08-08 12:05:00+00:00,2026-08-08 12:10:00+00:00,1,64882.11,64967.71,13.193159100404197,10.193159100404197,Coinbase
2026-08-08 22:55:00+00:00,2026-08-08 23:00:00+00:00,1,64892.52,64891.28,-0.1910851974928906,-3.1910851974928907,Coinbase
2026-08-11 14:50:00+00:00,2026-08-11 14:55:00+00:00,1,63685.15,63713.96,4.523817561865595,1.5238175618655951,Coinbase
2026-08-12 12:00:00+00:00,2026-08-12 12:05:00+00:00,-1,64209.61,64236.55,-4.195633644248353,-7.195633644248353,Coinbase
2026-08-13 15:55:00+00:00,2026-08-13 16:00:00+00:00,1,63348.48,63398.87,7.954413428703511,4.954413428703511,Coinbase
2026-08-15 21:40:00+00:00,2026-08-15 21:45:00+00:00,-1,63097.07,63088.96,1.2853211725993852,-1.7146788274006148,Coinbase
2026-08-17 10:40:00+00:00,2026-08-17 10:45:00+00:00,-1,63560.8,63554.99,0.9140854111344688,-2.085914588865532,Coinbase
2026-08-17 23:25:00+00:00,2026-08-17 23:30:00+00:00,-1,64439.09,64504.62,-10.169293203861065,-13.169293203861065,Coinbase
2026-08-18 11:20:00+00:00,2026-08-18 11:25:00+00:00,-1,64313.65,64306.63,1.091525671456095,-1.908474328543905,Coinbase
2026-08-18 14:25:00+00:00,2026-08-18 14:30:00+00:00,-1,64945.66,64761.77,28.31444010269579,25.31444010269579,Coinbase
2026-08-19 12:40:00+00:00,2026-08-19 12:45:00+00:00,-1,64883.01,,,,Coinbase
